author_name,user_id,profile_url,total_actions,total_likes,total_downloads,avg_likes,avg_downloads,total_pages,extraction_time
Cea,113342-,https://getquicker.net/User/113342/Cea,95,7776,86838,81.85,914.08,4,2025-08-22 00:49:01
Marcusx,583-,https://getquicker.net/User/583/Marcusx,36,5859,3572470,162.75,99235.28,2,2025-08-22 00:49:04
zryan,539621-,https://getquicker.net/User/539621/zryan,28,2460,34290,87.86,1224.64,2,2025-08-22 00:49:06
Cesar,18359-,https://getquicker.net/User/18359/Cesar,117,2850,767663,24.36,6561.22,5,2025-08-22 00:49:13
李考凡,478204-,https://getquicker.net/User/478204/%E6%9D%8E%E8%80%83%E5%87%A1,68,8358,44011,122.91,647.22,3,2025-08-22 00:49:18
M-cc,521120-,https://getquicker.net/User/521120/M-cc,52,2518,36953,48.42,710.63,3,2025-08-22 00:49:22
Ever,2774-,https://getquicker.net/User/2774/Ever,71,3758,3672170,52.93,51720.7,3,2025-08-22 00:49:26
瓜皮之牙,202824-,https://getquicker.net/User/202824/%E7%93%9C%E7%9A%AE%E4%B9%8B%E7%89%99,125,1939,708782,15.51,5670.26,5,2025-08-22 00:49:33
小铅笔,53176-,https://getquicker.net/User/53176/%E5%B0%8F%E9%93%85%E7%AC%94,8,865,66817,108.12,8352.12,1,2025-08-22 00:49:35
H-D-G,679811-,https://getquicker.net/User/679811/H-D-G,84,1113,4293,13.25,51.11,4,2025-08-22 00:49:40
困困君,743590-,https://getquicker.net/User/743590/%E5%9B%B0%E5%9B%B0%E5%90%9B,47,872,4495,18.55,95.64,2,2025-08-22 00:49:43
KBC,5221-,https://getquicker.net/User/5221/KBC,125,1054,770568,8.43,6164.54,5,2025-08-22 00:49:50
CL,3-,https://getquicker.net/User/3/CL,125,1293,2568123,10.34,20544.98,5,2025-08-22 00:49:58
臭冬瓜,3249-,https://getquicker.net/User/3249/%E8%87%AD%E5%86%AC%E7%93%9C,18,536,11084,29.78,615.78,1,2025-08-22 00:49:59
✅好用✅实用✅易用,412766-,https://getquicker.net/User/412766/%E2%9C%85%E5%A5%BD%E7%94%A8%E2%9C%85%E5%AE%9E%E7%94%A8%E2%9C%85%E6%98%93%E7%94%A8,40,644,3914,16.1,97.85,2,2025-08-22 00:50:02
治钧,21417-,https://getquicker.net/User/21417/%E6%B2%BB%E9%92%A7,41,1937,81423,47.24,1985.93,2,2025-08-22 00:50:05
i_orange,97-,https://getquicker.net/User/97/i_orange,62,1405,1692561,22.66,27299.37,3,2025-08-22 00:50:09
LifeHard,56236-,https://getquicker.net/User/56236/LifeHard,17,1407,23780,82.76,1398.82,1,2025-08-22 00:50:11
WilsonXuwx,10019-,https://getquicker.net/User/10019/WilsonXuwx,36,592,88482,16.44,2457.83,2,2025-08-22 00:50:15
简单591,36130-,https://getquicker.net/User/36130/%E7%AE%80%E5%8D%95591,81,802,11302,9.9,139.53,4,2025-08-22 00:50:23
云之轩,6023-,https://getquicker.net/User/6023/%E4%BA%91%E4%B9%8B%E8%BD%A9,45,1034,672333,22.98,14940.73,2,2025-08-22 00:50:27
抄书侠(GM),206328-,https://getquicker.net/User/206328/%E6%8A%84%E4%B9%A6%E4%BE%A0(GM),5,250,2718,50.0,543.6,1,2025-08-22 00:50:29
JasonTrue,11885-,https://getquicker.net/User/11885/JasonTrue,46,506,40421,11.0,878.72,2,2025-08-22 00:50:33
toubet,15732-,https://getquicker.net/User/15732/toubet,11,575,35415,52.27,3219.55,1,2025-08-22 00:50:35
VernonLin,31422-,https://getquicker.net/User/31422/VernonLin,54,583,859825,10.8,15922.69,3,2025-08-22 00:50:40
